ID_Vehiculo,Tipo,Ciudad_Destino,Num_Ciudades,Peso_kg,Capacidad_kg,Uso_Capacidad_%,Num_Paquetes,IDs_Paquetes,Km_Ruta
MOTO_56,Moto,Pereira,1,0.017839999999999998,30,0.05946666666666666,1,276,0.0
MOTO_57,Moto,Pereira,1,0.020149999999999998,30,0.06716666666666665,1,522,0.0
MOTO_58,Moto,Pereira,1,0.02023,30,0.06743333333333335,1,919,0.0
MOTO_59,Moto,Pereira,1,0.02134,30,0.07113333333333334,1,892,0.0
MOTO_60,Moto,Pereira,1,0.02206,30,0.07353333333333333,1,348,0.0
MOTO_61,Moto,Pereira,1,0.023829999999999997,30,0.07943333333333331,1,785,0.0
MOTO_62,Moto,Pereira,1,0.02393,30,0.07976666666666667,1,731,0.0
MOTO_63,Moto,Pereira,1,0.02558,30,0.08526666666666666,1,169,0.0
MOTO_64,Moto,Pereira,1,0.02565,30,0.08549999999999999,1,496,0.0
MOTO_65,Moto,Pereira,1,0.026350000000000002,30,0.08783333333333335,1,38,0.0
MOTO_66,Moto,Pereira,1,0.026879999999999998,30,0.08959999999999999,1,451,0.0
MOTO_67,Moto,Pereira,1,0.027149999999999997,30,0.09049999999999998,1,8,0.0
MOTO_68,Moto,Pereira,1,0.02845,30,0.09483333333333334,1,30,0.0
MOTO_69,Moto,Pereira,1,0.028579999999999998,30,0.09526666666666665,1,864,0.0
MOTO_70,Moto,Pereira,1,0.028820000000000002,30,0.09606666666666668,1,544,0.0
MOTO_71,Moto,Pereira,1,30.44,30,101.46666666666665,1,549,0.0
MOTO_72,Moto,Pereira,1,31.13,30,103.76666666666668,1,778,0.0
MOTO_73,Moto,Pereira,1,32.46,30,108.2,1,16,0.0
MOTO_74,Moto,Pereira,1,33.84,30,112.80000000000001,1,352,0.0
MOTO_75,Moto,Pereira,1,34.98,30,116.6,1,699,0.0
MOTO_76,Moto,Pereira,1,35.84,30,119.46666666666668,1,776,0.0
MOTO_77,Moto,Pereira,1,36.06,30,120.20000000000002,1,560,0.0
MOTO_78,Moto,Pereira,1,36.76,30,122.53333333333332,1,241,0.0
MOTO_79,Moto,Pereira,1,37.43,30,124.76666666666667,1,414,0.0
MOTO_80,Moto,Pereira,1,39.13,30,130.43333333333334,1,752,0.0
MOTO_81,Moto,Pereira,1,39.17,30,130.56666666666666,1,976,0.0
MOTO_82,Moto,Pereira,1,39.78,30,132.6,1,717,0.0
MOTO_83,Moto,Pereira,1,41.73,30,139.09999999999997,1,265,0.0
MOTO_84,Moto,Pereira,1,41.81,30,139.36666666666667,1,857,0.0
MOTO_85,Moto,Pereira,1,42.65,30,142.16666666666666,1,923,0.0
MOTO_86,Moto,Pereira,1,43.3,30,144.33333333333331,1,903,0.0
MOTO_87,Moto,Pereira,1,44.24,30,147.46666666666667,1,121,0.0
MOTO_88,Moto,Pereira,1,44.99,30,149.96666666666667,1,194,0.0
MOTO_89,Moto,Pereira,1,45.78,30,152.6,1,602,0.0
MOTO_90,Moto,Pereira,1,46.3,30,154.33333333333331,1,605,0.0
MOTO_91,Moto,Pereira,1,47.33,30,157.76666666666665,1,774,0.0
MOTO_92,Moto,Pereira,1,47.55,30,158.5,1,135,0.0
MOTO_93,Moto,Pereira,1,47.97,30,159.9,1,37,0.0
MOTO_94,Moto,Pereira,1,48.8,30,162.66666666666666,1,396,0.0
MOTO_95,Moto,Pereira,1,48.95,30,163.16666666666669,1,962,0.0
MOTO_96,Moto,Pereira,1,49.24,30,164.13333333333333,1,104,0.0
MOTO_97,Moto,Pereira,1,50.98,30,169.9333333333333,1,838,0.0
MOTO_98,Moto,Pereira,1,53.46,30,178.2,1,947,0.0
MOTO_99,Moto,Pereira,1,53.58,30,178.6,1,48,0.0
MOTO_100,Moto,Pereira,1,54.74,30,182.46666666666667,1,206,0.0
MOTO_101,Moto,Pereira,1,54.8,30,182.66666666666666,1,735,0.0
MOTO_102,Moto,Pereira,1,55.48,30,184.93333333333334,1,460,0.0
MOTO_103,Moto,Pereira,1,57.46,30,191.53333333333333,1,223,0.0
MOTO_104,Moto,Pereira,1,58.07,30,193.56666666666666,1,820,0.0
MOTO_105,Moto,Pereira,1,60.22,30,200.73333333333335,1,42,0.0
MOTO_106,Moto,Pereira,1,60.31,30,201.03333333333336,1,483,0.0
MOTO_107,Moto,Pereira,1,60.54,30,201.79999999999998,1,656,0.0
MOTO_108,Moto,Pereira,1,60.58,30,201.93333333333334,1,242,0.0
MOTO_109,Moto,Pereira,1,62.5,30,208.33333333333334,1,968,0.0
MOTO_110,Moto,Pereira,1,63.17,30,210.56666666666666,1,191,0.0
MOTO_111,Moto,Pereira,1,63.61,30,212.03333333333333,1,513,0.0
MOTO_112,Moto,Pereira,1,64.19,30,213.96666666666664,1,238,0.0
MOTO_113,Moto,Pereira,1,66.13,30,220.4333333333333,1,716,0.0
MOTO_114,Moto,Pereira,1,68.43,30,228.10000000000002,1,846,0.0
MOTO_115,Moto,Pereira,1,68.58,30,228.6,1,43,0.0
MOTO_116,Moto,Pereira,1,69.48,30,231.60000000000002,1,181,0.0
MOTO_117,Moto,Pereira,1,71.79,30,239.3,1,712,0.0
MOTO_118,Moto,Pereira,1,72.48,30,241.6,1,291,0.0
MOTO_119,Moto,Pereira,1,72.57,30,241.89999999999995,1,494,0.0
MOTO_120,Moto,Pereira,1,72.59,30,241.96666666666667,1,852,0.0
MOTO_121,Moto,Pereira,1,77.45,30,258.16666666666663,1,773,0.0
MOTO_122,Moto,Pereira,1,77.49,30,258.29999999999995,1,571,0.0
MOTO_123,Moto,Pereira,1,78.98,30,263.26666666666665,1,654,0.0
MOTO_124,Moto,Pereira,1,79.69,30,265.6333333333333,1,86,0.0
MOTO_125,Moto,Pereira,1,79.96,30,266.53333333333336,1,143,0.0
FURGONETA_1,Furgoneta,Neiva,2,0.96797,1000,0.096797,35,"287,858,609,340,575,942,97,811,567,765,5,702,862,661,390,595,974,893,537,236,218,902,434,11,613,551,149,918,680,572,732,224,450,690,361",211.0
FURGONETA_2,Furgoneta,Neiva,2,0.9901399999999999,1000,0.09901399999999998,16,"916,315,583,1,925,363,704,498,866,597,503,526,248,725,463,6",211.0
FURGONETA_3,Furgoneta,Neiva,2,0.45809000000000005,1000,0.045809,6,"667,711,378,726,757,920",211.0
FURGONETA_4,Furgoneta,Tunja,2,0.9610100000000001,1000,0.096101,36,"853,205,404,289,587,830,18,251,159,371,784,330,663,747,780,229,244,631,110,777,529,105,570,118,309,685,24,879,692,576,894,384,627,581,422,472",139.0
FURGONETA_5,Furgoneta,Tunja,2,0.9487000000000001,1000,0.09487000000000001,16,"259,948,288,154,977,809,527,95,268,593,185,215,794,813,442,103",139.0
FURGONETA_6,Furgoneta,Tunja,2,0.9770200000000001,1000,0.09770200000000001,13,"872,708,255,250,4,956,425,486,207,297,45,466,740",139.0
FURGONETA_7,Furgoneta,Cali,2,0.97129,1000,0.097129,40,"479,9,860,539,271,502,489,585,837,753,834,927,424,432,562,10,719,252,68,906,170,620,122,591,653,125,829,619,230,746,772,691,594,720,761,701,650,398,50,742",458.0
FURGONETA_8,Furgoneta,Cali,2,0.94128,1000,0.09412799999999999,16,"899,279,803,131,534,817,26,356,448,94,129,789,808,998,841,675",458.0
FURGONETA_9,Furgoneta,Cali,2,0.6637099999999998,1000,0.06637099999999997,9,"958,548,793,115,524,354,713,364,201",458.0
FURGONETA_10,Furgoneta,Armenia,2,0.9993199999999999,1000,0.09993199999999999,40,"873,705,410,197,966,797,658,29,628,477,569,333,891,666,17,521,269,208,749,429,512,120,152,552,770,436,970,881,412,649,484,951,911,822,63,49,67,871,453,599",5.4
FURGONETA_11,Furgoneta,Armenia,2,0.98217,1000,0.09821700000000001,18,"961,98,525,320,833,580,706,174,344,854,253,644,353,647,495,633,464,245",5.4
FURGONETA_12,Furgoneta,Armenia,2,0.7928699999999999,1000,0.07928699999999998,11,"493,69,557,624,990,824,91,293,188,767,389",5.4
FURGONETA_13,Furgoneta,Villavicencio,2,0.9518199999999998,1000,0.09518199999999997,39,"403,963,311,832,980,180,694,383,214,221,369,440,232,222,606,54,415,553,821,304,405,138,226,646,678,614,601,665,386,474,642,689,31,901,407,910,298,300,264",123.0
FURGONETA_14,Furgoneta,Villavicencio,2,0.96643,1000,0.096643,16,"349,959,362,934,134,284,443,684,452,960,237,697,146,476,622,111",123.0
FURGONETA_15,Furgoneta,Villavicencio,2,0.43529000000000007,1000,0.043529000000000005,6,"23,40,321,328,676,209",123.0
FURGONETA_16,Furgoneta,Cartagena,2,0.9599199999999998,1000,0.09599199999999998,40,"56,163,341,700,108,345,430,941,358,937,470,668,674,273,420,317,629,536,541,584,359,510,487,559,473,547,914,117,192,745,187,538,505,877,795,940,372,652,643,347",623.0
FURGONETA_17,Furgoneta,Cartagena,2,0.9814900000000001,1000,0.098149,16,"88,346,550,272,136,972,971,869,907,385,178,969,516,612,932,558",623.0
FURGONETA_18,Furgoneta,Cartagena,2,0.52083,1000,0.052083000000000004,7,"657,603,373,151,617,983,261",623.0
FURGONETA_19,Furgoneta,Manizales,2,0.97193,1000,0.097193,35,"723,686,775,454,374,426,565,738,212,755,190,324,681,801,314,231,928,734,441,462,762,81,160,78,84,812,157,199,898,909,128,805,258,72,729",163.0
FURGONETA_20,Furgoneta,Manizales,2,0.9913800000000001,1000,0.09913800000000003,17,"292,411,554,771,177,588,140,786,153,739,596,796,791,499,482,322,992",163.0
FURGONETA_21,Furgoneta,Manizales,2,0.9628,1000,0.09628,13,"186,814,381,62,366,949,475,783,310,592,267,1000,116",163.0
FURGONETA_22,Furgoneta,Manizales,2,0.31666000000000005,1000,0.03166600000000001,4,"399,433,849,392",163.0
CAMION_1,Camion,Pasto,3,2.4214700000000002,3000,0.08071566666666667,61,"439,607,13,133,664,578,933,885,257,530,416,130,760,635,693,141,44,845,106,804,748,21,375,718,758,351,515,220,802,610,458,401,274,204,233,329,331,395,876,598,167,285,800,449,727,843,360,166,900,564,623,243,835,973,368,35,296,162,875,996,445",844.0
CAMION_2,Camion,Barranquilla,3,2.970230000000001,3000,0.09900766666666669,72,"615,867,816,991,202,145,75,428,313,228,931,533,327,171,155,850,546,508,302,810,406,975,334,889,950,582,36,455,887,978,112,924,33,200,77,492,156,83,736,90,604,566,172,987,518,332,189,417,945,343,673,728,164,579,282,608,825,318,148,459,92,922,543,514,501,586,679,323,904,307,999,61",992.0
CAMION_3,Camion,Barranquilla,3,0.39247,3000,0.013082333333333335,5,"263,39,41,707,246",992.0
